"Part";"Value";"Device";"Package";"Description";"DESCRIPTION";"DESIGNER";"DIGIKEY_PART";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MANU_PART";"MOUSER_PART";"MOUSER_PART_NUMBER";"PACKAGE";"PROD_ID";"REV";"VALUE";
"R9";"0.1";"0.1OHM-0603-1/3W-1%";"0603";"0.1Ω resistor";"";"";"";"";"";"";"";"";"";"RES-15715";"";"0.1";
"R11";"100";"100OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"100Ω resistor";"";"";"";"";"";"";"";"";"";"RES-14962";"";"100";
"R12";"10k";"10KOHM-0402T-1/16W-1%";"0402-TIGHT";"10kΩ resistor";"";"";"";"";"";"";"";"";"";"RES-14241";"";"10k";
"R14";"470";"470OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"470Ω resistor";"";"";"";"";"";"";"";"";"";"RES-15584";"";"470";
"R17";"47";"47OHM-0402-TIGHT-1/16W-1%";"0402-TIGHT";"47Ω resistor";"";"";"";"";"";"";"";"";"";"RES-15585";"";"47";
"U$2";"SMOL_LOGOSMALL";"SMOL_LOGOSMALL";"SMOL_SMALL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"SMOL_LOGOSMALL";"SMOL_LOGOSMALL";"SMOL_SMALL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$4";"SPARKX-LOGO3";"SPARKX-LOGO3";"SPARKX-SMALL";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U$8";"SPARKX-LOGO2";"SPARKX-LOGO2";"SPARKX-TINY";"";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"ADM4210_1TSOT6";"ADM4210_1TSOT6";"TSOT6";"Hot Swap Controller";"";"";"";"";"";"";"";"";"";"IC-16020";"";"";
"U2";"1.8V/100mA";"V_REG_SP6214-1.8V";"SC70";"Voltage Regulator - SP6214";"";"";"";"";"";"";"";"";"";"VREG-08428";"";"1.8V/100mA";
"U3";"ARTIC_R2";"ARTIC_R2";"QFN-48";"AnSem ARTIC R2 Chipset";"";"";"";"";"";"";"";"";"";"IC-15312";"";"";
"U4";"RFPA0133";"RFPA0133";"QFN50P300X300X86-17N";"IC PROG PWR AMP 16-QFN";"";"";"";"Qorvo";"RFPA0133TR7";"";"";"772-RFPA0133";"";"IC-15274";"";"";
"U5";"AS179-92LF";"AS179-92LF";"SOT65P220X100-6N";"SKYWORKS SOLUTIONS - AS179-92LF - IC, SWITCH, RF, SPDT, 0.02-3.0GHZ";"";"";"";"";"";"";"";"";"";"IC-15047";"";"";
"U6";"3.0V";"V_REG_LP5907SOT23-3.0V";"SOT23-5";"LP5907 - 250mA Ultra-Low-Noise LDO Regulator w/ Enable";"";"";"296-40357-1-ND";"";"";"LP5907MFX-3.0/NOPB";"595-LP5907MFX-3.0NPB";"";"SOT-23(5)";"VREG-15586";"";"3.0V";
"U7";"SST25VF020BUSON";"SST25VF020BUSON";"USON_3X2MM";"2Mbit Serial Flash Memory";"";"";"SST25VF020B-80-4I-Q3AE-TCT-ND";"";"";"SST25VF020B-80-4I-Q3AE-T";"";"";"";"IC-15716";"";"";
"U8";"PCA9536";"PCA9536";"MSOP8";"PCA9536 4-Bit I2C I/O Expander";"";"";"";"";"";"";"";"";"";"IC-15034";"";"";
"VDD";"TEST-POINT3";"TEST-POINT3";"PAD.03X.03";"SparkFun Test Points";"";"";"";"";"";"";"";"";"";"";"";"";
"X1";"CRYSTAL-TCXO-26MHZ";"CRYSTAL-TCXO-26MHZ";"CRYSTAL-TCXO-SMD-1.65X1.25";"26MHz Crystal Oscillator";"";"";"";"";"";"";"449-LFTCXO073004CUTT";"";"";"XTAL-15279";"";"";
